,round,scheduled,match_id,team_id,team_name,opp_id,opp_name,is_home,goals_allowed,goals_for,goal_efficiency,offensive_ranking,opp_defensive_goal_efficiency,opp_defensive_ranking,opp_goals_allowed,opp_ratio_ball_safe_to_dangerous_attacks,opp_ratio_of_attacks,points,random,ratio_ball_safe_to_dangerous_attacks,ratio_of_attacks,actual,SVC,0,1,2
67,5,9/21/16 18:00,43,90,Real Madrid,93,Villarreal CF,1,3,9,0.18,1,0.947368421,1,1,1.213286713,0.538904899,0,3,1.042194093,0.627530364,1,3,-0.367711342,-1.710567294,-1.61580201
70,5,9/21/16 18:00,43,93,Villarreal CF,90,Real Madrid,0,1,4,0.166666667,0.66666,0.842105263,1,3,0.935222672,0.497835498,0,1,1.019011407,0.46641791,1,0,1.3943593,1.367122673,0.232786378
69,5,9/21/16 20:00,46,92,FC Barcelona,100,Atletico Madrid,1,3,7,0.2,1,1,1,0,1.03358209,0.346570397,0,3,1.047021944,0.54491018,1,3,-0.817455202,-2.464666883,-0.766219126
77,5,9/21/16 20:00,46,100,Atletico Madrid,92,FC Barcelona,0,0,9,0.236842105,1,0.88,0.66666,3,1.030888031,0.404494382,0,0,1.050505051,0.516025641,1,3,-1.122419902,0.714724472,0.958331607
78,7,9/25/16 18:45,70,101,Olympique Marseille,120,FC Nantes,1,6,4,0.142857143,0.66666,0.789473684,0.66666,4,0.896797153,0.436507937,0,0,1.033457249,0.410071942,3,3,-0.63030891,-1.091003095,-0.901930423
97,7,9/25/16 18:45,70,120,FC Nantes,101,Olympique Marseille,0,4,1,0.03125,0.66666,0.785714286,0,6,0.969604863,0.420062696,0,0,1.162629758,0.571428571,0,1,-1.95405645,0.375187142,0.818506355
79,7,9/24/16 18:00,63,102,FC Metz,107,Montpellier HSC,0,3,3,0.142857143,0.33333,0.78125,0,7,1.049822064,0.484745763,0,1,0.98880597,0.40754717,3,0,1.644898097,1.096717885,0.091401061
84,7,9/24/16 18:00,63,107,Montpellier HSC,102,FC Metz,1,7,3,0.142857143,0.33333,0.903225806,0,3,1.120833333,0.624535316,0,0,1.028571429,0.548611111,0,0,0.803636925,0.26549481,-1.092033295
80,7,9/25/16 13:00,68,103,Lille OSC,108,AS Saint Etienne,0,7,2,0.090909091,0.33333,0.962962963,0.66666,1,1.162629758,0.571428571,0,1,1.218867925,0.501547988,0,0,1.422377982,2.012183848,-0.261222255
85,7,9/25/16 13:00,68,108,AS Saint Etienne,103,Lille OSC,1,1,2,0.111111111,0,0.65,0.33333,7,1.040650407,0.43359375,0,0,0.896797153,0.436507937,3,3,0.156543223,-1.043849864,-1.297420337
